n_sentences,n_uncertain_sentences,uncertainty_rate
88,1,0.011363636363636364
17,0,0.0
8,1,0.125
7,0,0.0
23,2,0.08695652173913043
10,0,0.0
9,0,0.0
1,0,0.0
2,0,0.0
5,0,0.0
3,0,0.0
17,1,0.058823529411764705
5,0,0.0
1,0,0.0
9,0,0.0
33,0,0.0
4,0,0.0
2,0,0.0
13,0,0.0
91,0,0.0
7,0,0.0
26,4,0.15384615384615385
104,9,0.08653846153846154
2,0,0.0
2,0,0.0
16,0,0.0
3,0,0.0
168,2,0.011904761904761904
36,0,0.0
4,0,0.0
92,4,0.043478260869565216
9,2,0.2222222222222222
34,0,0.0
61,2,0.03278688524590164
1,0,0.0
110,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
22,0,0.0
22,7,0.3181818181818182
144,4,0.027777777777777776
72,8,0.1111111111111111
28,2,0.07142857142857142
8,0,0.0
1,0,0.0
21,0,0.0
9,0,0.0
6,0,0.0
2,0,0.0
4,0,0.0
1,0,0.0
32,1,0.03125
28,0,0.0
1,0,0.0
4,0,0.0
16,2,0.125
2,0,0.0
35,0,0.0
5,0,0.0
37,0,0.0
4,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
3,1,0.3333333333333333
37,0,0.0
9,0,0.0
3,0,0.0
2,0,0.0
7,0,0.0
21,1,0.047619047619047616
6,0,0.0
37,1,0.02702702702702703
10,2,0.2
32,2,0.0625
5,0,0.0
13,0,0.0
15,6,0.4
2,0,0.0
40,0,0.0
28,0,0.0
3,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
2,0,0.0
12,0,0.0
17,3,0.17647058823529413
3,0,0.0
12,0,0.0
3,0,0.0
6,1,0.16666666666666666
44,0,0.0
22,7,0.3181818181818182
12,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
33,0,0.0
49,0,0.0
1,0,0.0
33,0,0.0
3,0,0.0
13,2,0.15384615384615385
41,4,0.0975609756097561
18,0,0.0
16,0,0.0
11,0,0.0
6,0,0.0
29,0,0.0
1,0,0.0
27,2,0.07407407407407407
5,2,0.4
1,0,0.0
34,1,0.029411764705882353
2,0,0.0
30,0,0.0
4,1,0.25
3,0,0.0
10,3,0.3
5,0,0.0
7,1,0.14285714285714285
9,0,0.0
3,0,0.0
2,0,0.0
4,0,0.0
7,0,0.0
10,2,0.2
10,1,0.1
11,3,0.2727272727272727
1,0,0.0
43,4,0.09302325581395349
1,0,0.0
3,0,0.0
31,7,0.22580645161290322
3,0,0.0
18,0,0.0
2,0,0.0
17,1,0.058823529411764705
2,0,0.0
41,2,0.04878048780487805
3,0,0.0
48,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
7,0,0.0
30,3,0.1
13,0,0.0
1,0,0.0
18,0,0.0
1,0,0.0
11,0,0.0
89,1,0.011235955056179775
2,0,0.0
34,0,0.0
17,1,0.058823529411764705
4,0,0.0
1,0,0.0
11,0,0.0
13,0,0.0
1,0,0.0
8,0,0.0
1,0,0.0
26,0,0.0
28,3,0.10714285714285714
8,0,0.0
5,1,0.2
1,0,0.0
10,2,0.2
4,0,0.0
1,0,0.0
13,0,0.0
11,0,0.0
5,0,0.0
2,0,0.0
33,11,0.3333333333333333
21,0,0.0
24,2,0.08333333333333333
33,0,0.0
8,0,0.0
1,0,0.0
4,0,0.0
1,0,0.0
1,0,0.0
18,0,0.0
15,0,0.0
63,5,0.07936507936507936
17,7,0.4117647058823529
23,3,0.13043478260869565
19,0,0.0
27,5,0.18518518518518517
9,0,0.0
2,0,0.0
197,30,0.15228426395939088
1,0,0.0
1,0,0.0
1,0,0.0
13,0,0.0
6,0,0.0
32,0,0.0
71,9,0.1267605633802817
2,0,0.0
16,0,0.0
5,0,0.0
1,0,0.0
18,0,0.0
4,0,0.0
56,4,0.07142857142857142
15,3,0.2
27,1,0.037037037037037035
8,1,0.125
3,0,0.0
7,0,0.0
16,0,0.0
11,0,0.0
9,1,0.1111111111111111
6,0,0.0
5,0,0.0
9,0,0.0
37,1,0.02702702702702703
13,0,0.0
3,0,0.0
4,0,0.0
13,3,0.23076923076923078
3,0,0.0
19,0,0.0
1,0,0.0
8,0,0.0
67,1,0.014925373134328358
22,0,0.0
20,0,0.0
7,0,0.0
20,0,0.0
6,0,0.0
10,0,0.0
50,8,0.16
8,0,0.0
1,0,0.0
20,0,0.0
12,0,0.0
1,0,0.0
40,0,0.0
1,0,0.0
17,0,0.0
11,0,0.0
2,0,0.0
4,0,0.0
33,1,0.030303030303030304
8,0,0.0
44,4,0.09090909090909091
36,0,0.0
1,0,0.0
25,1,0.04
21,1,0.047619047619047616
3,0,0.0
23,0,0.0
2,0,0.0
14,0,0.0
10,0,0.0
1,0,0.0
2,0,0.0
209,4,0.019138755980861243
2,0,0.0
2,0,0.0
62,4,0.06451612903225806
1,0,0.0
23,2,0.08695652173913043
34,0,0.0
22,0,0.0
4,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
1,0,0.0
3,1,0.3333333333333333
27,4,0.14814814814814814
3,0,0.0
11,1,0.09090909090909091
7,0,0.0
11,2,0.18181818181818182
6,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
47,8,0.1702127659574468
1,0,0.0
3,0,0.0
10,4,0.4
8,0,0.0
11,0,0.0
47,10,0.2127659574468085
6,0,0.0
